,mean,standard_deviation,maximum,minimum,q_value,number_of_houses,dispatching
0,25.767857142857142,3.2555309257035403,27.0,9.0,27.0,5,True
1,25.071428571428573,10.194851012571007,45.0,0.0,36.0,5,False
2,125.73214285714286,2.0719778924146994,126.0,108.0,126.0,25,True
3,127.71428571428571,30.51575481128248,225.0,0.0,162.0,25,False
4,621.5892857142857,4.308924532231373,630.0,612.0,630.0,125,True
5,625.0178571428571,110.59498712066018,1098.0,0.0,711.0,125,False
